raceid,driverid,constructorid,circuitid,year,statusid,finished,gap_to_best_time
18,1,1,1,2008,1,True,0.0
18,9,2,1,2008,4,False,0.128
18,5,1,1,2008,1,True,0.265
18,13,6,1,2008,5,False,0.504
18,2,2,1,2008,1,True,0.331
18,15,7,1,2008,10,False,0.914
18,3,3,1,2008,1,True,0.872
18,14,9,1,2008,4,False,0.876
18,10,7,1,2008,3,False,0.977
18,20,5,1,2008,4,False,0.655
18,22,11,1,2008,2,False,0.986
18,4,4,1,2008,1,True,1.001
18,18,11,1,2008,4,False,1.072
18,6,3,1,2008,11,True,1.226
18,17,9,1,2008,4,False,1.727
18,8,6,1,2008,5,False,0.953
18,21,10,1,2008,4,False,2.02
18,7,5,1,2008,5,False,2.259
18,16,10,1,2008,9,False,2.672
18,11,8,1,2008,7,False,3.021
18,12,4,1,2008,8,False,3.143
18,19,8,1,2008,4,False,3.872
19,13,6,2,2008,20,False,0.224
19,8,6,2,2008,1,True,0.0
19,5,1,2,2008,1,True,0.571
19,1,1,2,2008,1,True,0.439
19,15,7,2,2008,1,True,0.772
19,9,2,2,2008,1,True,0.623
19,2,2,2,2008,1,True,0.46
19,17,9,2,2008,1,True,0.779
19,4,4,2,2008,1,True,0.952
19,10,7,2,2008,4,False,0.812
19,18,11,2,2008,1,True,1.02
19,14,9,2,2008,1,True,1.22
19,12,4,2,2008,1,True,1.374
19,22,11,2,2008,11,True,1.434
19,20,5,2,2008,5,False,1.46
19,3,3,2,2008,11,True,1.482
19,21,10,2,2008,11,True,2.052
19,6,3,2,2008,12,True,2.2
19,7,5,2,2008,20,False,2.489
19,11,8,2,2008,12,True,2.899
19,16,10,2,2008,9,False,2.913
19,19,8,2,2008,11,True,3.293
20,9,2,3,2008,1,True,0.557
20,13,6,3,2008,1,True,0.0
20,1,1,3,2008,11,True,0.734
20,8,6,3,2008,1,True,0.745
20,5,1,3,2008,1,True,0.53
20,2,2,3,2008,1,True,0.721
20,15,7,3,2008,1,True,0.971
20,3,3,3,2008,1,True,0.997
20,18,11,3,2008,4,False,1.174
20,4,4,3,2008,1,True,1.157
20,17,9,3,2008,1,True,1.183
20,22,11,3,2008,1,True,1.32
20,10,7,3,2008,1,True,1.34
20,12,4,3,2008,6,False,1.602
20,7,5,3,2008,11,True,1.727
20,6,3,3,2008,11,True,1.755
20,14,9,3,2008,11,True,2.245
20,21,10,3,2008,11,True,2.313
20,20,5,3,2008,5,False,2.374
20,16,10,3,2008,12,True,2.657
20,19,8,3,2008,11,True,2.952
20,11,8,3,2008,11,True,4.537
21,8,6,4,2008,1,True,0.117
21,4,4,4,2008,5,False,0.22
21,13,6,4,2008,1,True,0.0
21,9,2,4,2008,1,True,0.013
21,1,1,4,2008,1,True,0.241
21,5,1,4,2008,3,False,0.233
21,17,9,4,2008,1,True,0.4
21,15,7,4,2008,1,True,0.323
